trkpt - lon,trkpt - lat,trkpt - ele,trkpt - time,time,Day
-58.475197,-34.573093,7.808044,2015-10-24T11:17:26.186-03:00,11:17:26:1726,2015-10-24
-58.475304,-34.57314,8.37285,2015-10-24T11:17:30.243-03:00,11:17:30:1730,2015-10-24
-58.475407,-34.573174,8.883309,2015-10-24T11:17:34.300-03:00,11:17:34:1734,2015-10-24
-58.475502,-34.573235,9.452686,2015-10-24T11:17:38.358-03:00,11:17:38:1738,2015-10-24
-58.475616,-34.573296,10.066761,2015-10-24T11:17:42.415-03:00,11:17:42:1742,2015-10-24
-58.47571,-34.57335,10.614806,2015-10-24T11:17:46.472-03:00,11:17:46:1746,2015-10-24
-58.47582,-34.573402,11.193834,2015-10-24T11:17:50.529-03:00,11:17:50:1750,2015-10-24
-58.475887,-34.573483,12.530277,2015-10-24T11:17:54.587-03:00,11:17:54:1754,2015-10-24
-58.47586,-34.57358,13.94176,2015-10-24T11:17:58.644-03:00,11:17:58:1758,2015-10-24
-58.4758,-34.57366,15.036899,2015-10-24T11:18:02.701-03:00,11:18:02:182,2015-10-24
-58.475723,-34.573742,15.71423,2015-10-24T11:18:06.759-03:00,11:18:06:186,2015-10-24
-58.47564,-34.57383,16.049707,2015-10-24T11:18:10.816-03:00,11:18:10:1810,2015-10-24
-58.475548,-34.57391,15.458998,2015-10-24T11:18:14.873-03:00,11:18:14:1814,2015-10-24
-58.475452,-34.573994,14.859295,2015-10-24T11:18:18.930-03:00,11:18:18:1818,2015-10-24
-58.475388,-34.574074,14.347157,2015-10-24T11:18:22.988-03:00,11:18:22:1822,2015-10-24
-58.475307,-34.574154,13.81088,2015-10-24T11:18:27.045-03:00,11:18:27:1827,2015-10-24
-58.475185,-34.57418,13.251883,2015-10-24T11:18:31.102-03:00,11:18:31:1831,2015-10-24
-58.47508,-34.574142,12.744951,2015-10-24T11:18:35.160-03:00,11:18:35:1835,2015-10-24
-58.474964,-34.574074,12.129154,2015-10-24T11:18:39.217-03:00,11:18:39:1839,2015-10-24
-58.47486,-34.574005,11.554538,2015-10-24T11:18:43.274-03:00,11:18:43:1843,2015-10-24
-58.47473,-34.573948,10.914602,2015-10-24T11:18:47.331-03:00,11:18:47:1847,2015-10-24
-58.47463,-34.57391,9.979146,2015-10-24T11:18:51.389-03:00,11:18:51:1851,2015-10-24
-58.47452,-34.573853,9.32343,2015-10-24T11:18:55.446-03:00,11:18:55:1855,2015-10-24
-58.474434,-34.573772,8.958709,2015-10-24T11:18:59.503-03:00,11:18:59:1859,2015-10-24
-58.474445,-34.573677,8.871279,2015-10-24T11:19:03.561-03:00,11:19:03:193,2015-10-24
-58.47454,-34.573593,8.771274,2015-10-24T11:19:07.618-03:00,11:19:07:197,2015-10-24
-58.47464,-34.573505,8.326819,2015-10-24T11:19:11.675-03:00,11:19:11:1911,2015-10-24
-58.474724,-34.57343,7.6269326,2015-10-24T11:19:15.732-03:00,11:19:15:1915,2015-10-24
-58.474796,-34.573357,7.227277,2015-10-24T11:19:19.790-03:00,11:19:19:1919,2015-10-24
-58.47488,-34.57327,8.0086565,2015-10-24T11:19:23.847-03:00,11:19:23:1923,2015-10-24
-58.47496,-34.573185,8.757479,2015-10-24T11:19:27.904-03:00,11:19:27:1927,2015-10-24
-58.475025,-34.573097,9.48251,2015-10-24T11:19:31.961-03:00,11:19:31:1931,2015-10-24
-58.475143,-34.573063,10.201904,2015-10-24T11:19:36.019-03:00,11:19:36:1936,2015-10-24
-58.47525,-34.573116,10.918796,2015-10-24T11:19:40.076-03:00,11:19:40:1940,2015-10-24
-58.475338,-34.573185,11.613147,2015-10-24T11:19:44.133-03:00,11:19:44:1944,2015-10-24
-58.475433,-34.57325,12.32002,2015-10-24T11:19:48.191-03:00,11:19:48:1948,2015-10-24
-58.475548,-34.573307,12.610675,2015-10-24T11:19:52.248-03:00,11:19:52:1952,2015-10-24
-58.475643,-34.57336,12.89301,2015-10-24T11:19:56.305-03:00,11:19:56:1956,2015-10-24
-58.475754,-34.57342,13.160681,2015-10-24T11:20:00.362-03:00,11:20:00:200,2015-10-24
-58.47585,-34.57348,13.537503,2015-10-24T11:20:04.420-03:00,11:20:04:204,2015-10-24
-58.47582,-34.573578,13.882773,2015-10-24T11:20:08.477-03:00,11:20:08:208,2015-10-24
-58.47572,-34.57367,14.311397,2015-10-24T11:20:12.534-03:00,11:20:12:2012,2015-10-24
-58.475643,-34.57375,15.047304,2015-10-24T11:20:16.592-03:00,11:20:16:2016,2015-10-24
-58.47556,-34.573837,16.031271,2015-10-24T11:20:20.649-03:00,11:20:20:2020,2015-10-24
-58.475475,-34.57392,17.073477,2015-10-24T11:20:24.706-03:00,11:20:24:2024,2015-10-24
-58.47539,-34.57399,17.991362,2015-10-24T11:20:28.763-03:00,11:20:28:2028,2015-10-24
-58.47531,-34.57408,18.640617,2015-10-24T11:20:32.821-03:00,11:20:32:2032,2015-10-24
-58.475227,-34.574142,19.00549,2015-10-24T11:20:36.878-03:00,11:20:36:2036,2015-10-24
-58.475098,-34.57415,19.094873,2015-10-24T11:20:40.935-03:00,11:20:40:2040,2015-10-24
-58.47499,-34.574097,17.80844,2015-10-24T11:20:44.993-03:00,11:20:44:2044,2015-10-24
-58.474895,-34.57404,16.614613,2015-10-24T11:20:49.050-03:00,11:20:49:2049,2015-10-24
-58.474777,-34.573982,15.198756,2015-10-24T11:20:53.107-03:00,11:20:53:2053,2015-10-24
-58.474667,-34.57393,13.8755045,2015-10-24T11:20:57.164-03:00,11:20:57:2057,2015-10-24
-58.474552,-34.573875,11.878202,2015-10-24T11:21:01.222-03:00,11:21:01:211,2015-10-24
-58.474464,-34.57382,10.440171,2015-10-24T11:21:05.279-03:00,11:21:05:215,2015-10-24
-58.474426,-34.573723,9.651541,2015-10-24T11:21:09.336-03:00,11:21:09:219,2015-10-24
-58.474457,-34.573627,9.212258,2015-10-24T11:21:13.393-03:00,11:21:13:2113,2015-10-24
-58.47454,-34.573563,8.968453,2015-10-24T11:21:17.451-03:00,11:21:17:2117,2015-10-24
-58.474648,-34.573483,8.772103,2015-10-24T11:21:21.508-03:00,11:21:21:2121,2015-10-24
-58.47475,-34.573406,8.437934,2015-10-24T11:21:25.565-03:00,11:21:25:2125,2015-10-24
-58.474815,-34.57332,8.104416,2015-10-24T11:21:29.623-03:00,11:21:29:2129,2015-10-24
-58.47488,-34.57323,7.810656,2015-10-24T11:21:33.680-03:00,11:21:33:2133,2015-10-24
-58.474957,-34.573128,7.428798,2015-10-24T11:21:37.737-03:00,11:21:37:2137,2015-10-24
-58.475025,-34.573048,7.225353,2015-10-24T11:21:41.794-03:00,11:21:41:2141,2015-10-24
-58.47515,-34.573017,8.207337,2015-10-24T11:21:45.852-03:00,11:21:45:2145,2015-10-24
-58.47526,-34.57306,9.127537,2015-10-24T11:21:49.909-03:00,11:21:49:2149,2015-10-24
-58.475346,-34.573135,10.085631,2015-10-24T11:21:53.966-03:00,11:21:53:2153,2015-10-24
-58.475445,-34.5732,11.053611,2015-10-24T11:21:58.024-03:00,11:21:58:2158,2015-10-24
-58.47554,-34.573257,11.909553,2015-10-24T11:22:02.081-03:00,11:22:02:222,2015-10-24
-58.475636,-34.573322,12.863528,2015-10-24T11:22:06.138-03:00,11:22:06:226,2015-10-24
-58.475746,-34.573376,13.512588,2015-10-24T11:22:10.195-03:00,11:22:10:2210,2015-10-24
-58.47583,-34.57344,14.363237,2015-10-24T11:22:14.253-03:00,11:22:14:2214,2015-10-24
-58.47583,-34.573536,15.585927,2015-10-24T11:22:18.310-03:00,11:22:18:2218,2015-10-24
-58.47578,-34.573635,16.815691,2015-10-24T11:22:22.367-03:00,11:22:22:2222,2015-10-24
-58.475685,-34.573727,17.648046,2015-10-24T11:22:26.425-03:00,11:22:26:2226,2015-10-24
-58.475594,-34.57381,18.06174,2015-10-24T11:22:30.482-03:00,11:22:30:2230,2015-10-24
-58.475506,-34.573883,18.13567,2015-10-24T11:22:34.539-03:00,11:22:34:2234,2015-10-24
-58.47542,-34.57397,17.253391,2015-10-24T11:22:38.596-03:00,11:22:38:2238,2015-10-24
-58.475353,-34.574043,16.505297,2015-10-24T11:22:42.654-03:00,11:22:42:2242,2015-10-24
-58.47528,-34.574116,15.762971,2015-10-24T11:22:46.711-03:00,11:22:46:2246,2015-10-24
-58.475163,-34.57416,14.901615,2015-10-24T11:22:50.768-03:00,11:22:50:2250,2015-10-24
-58.475056,-34.57412,14.130434,2015-10-24T11:22:54.826-03:00,11:22:54:2254,2015-10-24
-58.47496,-34.57406,13.322461,2015-10-24T11:22:58.883-03:00,11:22:58:2258,2015-10-24
-58.474884,-34.57399,12.58663,2015-10-24T11:23:02.940-03:00,11:23:02:232,2015-10-24
-58.474796,-34.573933,11.834927,2015-10-24T11:23:06.997-03:00,11:23:06:236,2015-10-24
-58.47467,-34.5739,10.617151,2015-10-24T11:23:11.055-03:00,11:23:11:2311,2015-10-24
-58.47456,-34.573856,9.540967,2015-10-24T11:23:15.112-03:00,11:23:15:2315,2015-10-24
-58.47445,-34.57379,9.078685,2015-10-24T11:23:19.169-03:00,11:23:19:2319,2015-10-24
-58.474445,-34.57369,8.982526,2015-10-24T11:23:23.226-03:00,11:23:23:2323,2015-10-24
-58.47455,-34.573612,8.877106,2015-10-24T11:23:27.284-03:00,11:23:27:2327,2015-10-24
-58.474625,-34.57354,8.789215,2015-10-24T11:23:31.341-03:00,11:23:31:2331,2015-10-24
-58.47471,-34.573467,8.697934,2015-10-24T11:23:35.398-03:00,11:23:35:2335,2015-10-24
-58.47479,-34.57339,7.9964504,2015-10-24T11:23:39.456-03:00,11:23:39:2339,2015-10-24
-58.474846,-34.573315,7.3994026,2015-10-24T11:23:43.513-03:00,11:23:43:2343,2015-10-24
-58.47488,-34.573223,7.1503115,2015-10-24T11:23:47.570-03:00,11:23:47:2347,2015-10-24
-58.47492,-34.57314,7.7427044,2015-10-24T11:23:51.627-03:00,11:23:51:2351,2015-10-24
-58.475002,-34.57305,8.452645,2015-10-24T11:23:55.685-03:00,11:23:55:2355,2015-10-24
-58.475113,-34.573036,9.055513,2015-10-24T11:23:59.742-03:00,11:23:59:2359,2015-10-24
-58.475224,-34.573063,9.66129,2015-10-24T11:24:03.799-03:00,11:24:03:243,2015-10-24
-58.47534,-34.573124,10.417203,2015-10-24T11:24:07.857-03:00,11:24:07:247,2015-10-24
-58.47545,-34.573193,11.131799,2015-10-24T11:24:11.914-03:00,11:24:11:2411,2015-10-24
-58.47554,-34.57325,11.751542,2015-10-24T11:24:15.971-03:00,11:24:15:2415,2015-10-24
-58.47561,-34.573322,12.33928,2015-10-24T11:24:20.028-03:00,11:24:20:2420,2015-10-24
-58.475716,-34.57337,12.999176,2015-10-24T11:24:24.086-03:00,11:24:24:2424,2015-10-24
-58.475826,-34.57342,14.237146,2015-10-24T11:24:28.143-03:00,11:24:28:2428,2015-10-24
-58.47584,-34.573513,15.519585,2015-10-24T11:24:32.200-03:00,11:24:32:2432,2015-10-24
-58.475792,-34.5736,16.663551,2015-10-24T11:24:36.258-03:00,11:24:36:2436,2015-10-24
-58.47571,-34.573692,17.690723,2015-10-24T11:24:40.315-03:00,11:24:40:2440,2015-10-24
-58.475624,-34.573776,18.669523,2015-10-24T11:24:44.372-03:00,11:24:44:2444,2015-10-24
-58.475544,-34.57386,19.50705,2015-10-24T11:24:48.429-03:00,11:24:48:2448,2015-10-24
-58.47547,-34.573944,19.857958,2015-10-24T11:24:52.487-03:00,11:24:52:2452,2015-10-24
-58.47542,-34.57404,18.990273,2015-10-24T11:24:56.544-03:00,11:24:56:2456,2015-10-24
-58.475346,-34.574127,18.054308,2015-10-24T11:25:00.601-03:00,11:25:00:250,2015-10-24
-58.475246,-34.57418,17.226517,2015-10-24T11:25:04.658-03:00,11:25:04:254,2015-10-24
-58.47511,-34.574158,16.255262,2015-10-24T11:25:08.716-03:00,11:25:08:258,2015-10-24
-58.47501,-34.574093,15.360726,2015-10-24T11:25:12.773-03:00,11:25:12:2512,2015-10-24
